Gene,GeneStableID,MGI_ID,UniProtID,GeneName,Category1,Subcategory,Comments,UniProt_function,PANTHER_ProteinClass,GO_CellularComponent,GO_MolecularFunction,KEGG_CytoChemoReceptor,TFdb_TranscrFact,PRRs_and_Effectors
Trim30b,ENSMUSG00000052749,4821256,E9PVL6,Tripartite motif-containing 30B,Effector,RestrFact,,NA,ubiquitin-protein ligase(PC00234),"cytoplasm,P-body,nucleoplasm,cytosol,omegasome","ubiquitin-protein transferase activity,identical protein binding,protein-macromolecule adaptor activity,protein homodimerization activity,ubiquitin protein ligase activity,protein kinase binding,transcription coactivator activity,pattern recognition receptor activity,zinc ion binding,metal ion binding",NA,NA,RestrFact
Trim30c,ENSMUSG00000078616,4821257,D3YVI9,Tripartite motif-containing 30C,Effector,RestrFact,,NA,ubiquitin-protein ligase(PC00234),"cytoplasm,P-body,nucleoplasm,cytosol,omegasome","zinc ion binding,protein binding,metal ion binding,ubiquitin-protein transferase activity,identical protein binding,protein-macromolecule adaptor activity,protein homodimerization activity,ubiquitin protein ligase activity,protein kinase binding,transcription coactivator activity,pattern recognition receptor activity",NA,NA,RestrFact
Trim30d,ENSMUSG00000057596,3035181,E9PWL0,Tripartite motif-containing 30D,Effector,RestrFact,,"orthologous to TRIM5 (hTRIM5: Capsid-specific restriction factor that prevents infection from non-host-adapted retroviruses. Blocks viral replication early in the life cycle, after viral entry but before reverse transcription. In addition to acting as a capsid-specific restriction factor, also acts as a pattern recognition receptor that activates innate immune signaling in response to the retroviral capsid lattice.)",ubiquitin-protein ligase(PC00234),"cytoplasm,P-body,nucleoplasm,cytosol,omegasome","protein binding,ubiquitin-protein transferase activity,identical protein binding,protein-macromolecule adaptor activity,protein homodimerization activity,ubiquitin protein ligase activity,protein kinase binding,transcription coactivator activity,pattern recognition receptor activity,zinc ion binding,metal ion binding",NA,NA,NA
Trim32,ENSMUSG00000051675,1917057,Q8CH72,E3 ubiquitin-protein ligase TRIM32,Effector,RestrFact,,TRIM32: (Microbial infection) May play a significant role in mediating the biological activity of the HIV-1 Tat protein in vivo (PubMed:7778269). Binds specifically to the activation domain of HIV-1 Tat and can also interact with the HIV-2 and EIAV Tat proteins in vivo (PubMed:7778269).,NA,"nucleus,cytoplasm,striated muscle myosin thick filament","zinc ion binding,protein binding,transferase activity,metal ion binding,ubiquitin protein ligase activity,ubiquitin-protein transferase activity,identical protein binding,protein self-association,myosin binding,transcription coactivator activity,ubiquitin binding,RNA binding,translation initiation factor binding",NA,TFcofactor,RestrFact
Trim34a,ENSMUSG00000056144,2137359,Q99PP6,Tripartite motif-containing protein 34A,Effector,RestrFact,,"Functions as antiviral protein and contributes to the defense against retroviral infections (By similarity). Acts as a capsid-specific restriction factor with the help of TRIM5 and prevents infection from non-host-adapted retroviruses. During influenza A virus infection, promotes programmed cell death by targeting ZBP1 for 'Lys-63'-linked polyubiquitination. In turn, promotes ZBP1 recruitment of RIPK3 to mediate virus-induced programmed necrosis (By similarity).",ubiquitin-protein ligase(PC00234),NA,"zinc ion binding,protein binding",NA,NA,RestrFact
Trim34b,ENSMUSG00000090215,4821264,J3QNR8,Tripartite motif-containing 34B,Effector,RestrFact,,"Functions as antiviral protein and contributes to the defense against retroviral infections (By similarity). Acts as a capsid-specific restriction factor with the help of TRIM5 and prevents infection from non-host-adapted retroviruses. During influenza A virus infection, promotes programmed cell death by targeting ZBP1 for 'Lys-63'-linked polyubiquitination. In turn, promotes ZBP1 recruitment of RIPK3 to mediate virus-induced programmed necrosis (By similarity).",ubiquitin-protein ligase(PC00234),"cytoplasm,nucleoplasm,cytosol,mitochondrion","zinc ion binding,protein binding,metal ion binding,transferase activity,identical protein binding,ubiquitin protein ligase activity,protein kinase binding,protein homodimerization activity",NA,NA,RestrFact
Trim35,ENSMUSG00000022043,1914104,Q8C006,E3 ubiquitin-protein ligase TRIM35,Effector,RestrFact,,"E3 ubiquitin-protein ligase that participates in multiple biological processes including cell death, glucose metabolism, and in particular, the innate immune response (By similarity) (PubMed:32562145). Mediates 'Lys-63'-linked polyubiquitination of TRAF3 thereby promoting type I interferon production via RIG-I signaling pathway. Can also catalyze 'Lys-48'-linked polyubiquitination and proteasomal degradation of viral proteins such as influenza virus PB2. Acts as a negative feedback regulator of TLR7- and TLR9-triggered signaling. Mechanistically, promotes the 'Lys-48'-linked ubiquitination of IRF7 and induces its degradation via a proteasome-dependent pathway.",ubiquitin-protein ligase(PC00234),cytoplasm,"zinc ion binding,protein binding,metal ion binding",NA,NA,RestrFact
Trim41,ENSMUSG00000040365,2384814,Q5NCC3,E3 ubiquitin-protein ligase TRIM41,Effector,RestrFact,,"E3 ligase that plays essential roles in innate antiviral response (PubMed:33640899).Directly binds to influenza A virus or vesicular stomatitis virus nucleoproteins and targets them for ubiquitination and proteasomal degradation, thereby limiting viral infections (By similarity). Activates the innate antiviral response by catalyzing monoubiquitination of CGAS, thereby activating CGAS (By similarity). Also involved in innate antiviral response by mediating 'Lys-63'-linked polyubiquitylation of BCL10 which in turn hubs NEMO for activation of NF-kappa-B and IRF3 pathways (PubMed:33640899).",ubiquitin-protein ligase(PC00234),"nucleolus,nuclear body,nucleus,cytoplasm","zinc ion binding,protein binding,transferase activity,metal ion binding,identical protein binding,ubiquitin protein ligase activity",NA,NA,RestrFact
Trim5,ENSMUSG00000060441,3646853,E9PV98,Tripartite motif-containing 5,Effector,RestrFact,,see Trim34b,ubiquitin-protein ligase(PC00234),"cytoplasm,P-body,nucleoplasm,cytosol,omegasome","zinc ion binding,protein binding,metal ion binding,ubiquitin-protein transferase activity,identical protein binding,protein-macromolecule adaptor activity,protein homodimerization activity,ubiquitin protein ligase activity,protein kinase binding,transcription coactivator activity,pattern recognition receptor activity",NA,NA,RestrFact
Trim69,ENSMUSG00000033368,1918178,Q80X56,E3 ubiquitin-protein ligase TRIM69,Effector,RestrFact,,"E3 ubiquitin ligase that plays an important role in antiviral immunity by restricting different viral infections including dengue virus or vesicular stomatitis indiana virus. Ubiquitinates viral proteins such as dengue virus NS3 thereby limiting infection. In addition, acts as a key mediator of type I interferon induced microtubule stabilization by directly associating to microtubules independently of its E3 ligase activity.",ubiquitin-protein ligase(PC00234),"nucleus,nuclear speck,cytoplasm","protein binding,transferase activity,metal ion binding,ubiquitin-protein transferase activity,identical protein binding,ubiquitin protein ligase activity",NA,NA,RestrFact
