"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSGALP00010041397","ENSGALG00010027907","MKNK2","MAPK interacting serine/threonine kinase 2 [Source:UniProtKB Gene Name;Acc:A0A8V1ADT9]","","Chicken","AvianImmunome"
"ENSGALP00010041399","ENSGALG00010027907","MKNK2","MAPK interacting serine/threonine kinase 2 [Source:UniProtKB Gene Name;Acc:A0A8V1ADT9]","","Chicken","AvianImmunome"
"ENSGALP00010041401","ENSGALG00010027911","PTPN22","protein tyrosine phosphatase non-receptor type 22 [Source:UniProtKB Gene Name;Acc:A0A8V1AGD7]","","Chicken","AvianImmunome"
"ENSGALP00010041402","ENSGALG00010027911","PTPN22","protein tyrosine phosphatase non-receptor type 22 [Source:UniProtKB Gene Name;Acc:A0A8V1AGD7]","T cell differentiation; T cell receptor signaling pathway","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010041403","ENSGALG00010027911","PTPN22","protein tyrosine phosphatase non-receptor type 22 [Source:UniProtKB Gene Name;Acc:A0A8V1AGD7]","","Chicken","AvianImmunome"
"ENSGALP00010041411","ENSGALG00010027916","ADAR","adenosine deaminase RNA specific [Source:UniProtKB Gene Name;Acc:A0A8V1AB28]","somatic diversification of immune receptors via somatic mutation","Chicken","biomartGO"
"ENSGALP00010041412","ENSGALG00010027917","PPARG","peroxisome proliferator-activated receptor gamma [Source:NCBI gene (formerly Entrezgene);Acc:373928]","","Chicken","AvianImmunome"
"ENSGALP00010041413","ENSGALG00010027917","PPARG","peroxisome proliferator-activated receptor gamma [Source:NCBI gene (formerly Entrezgene);Acc:373928]","","Chicken","AvianImmunome"
"ENSGALP00010041414","ENSGALG00010027917","PPARG","peroxisome proliferator-activated receptor gamma [Source:NCBI gene (formerly Entrezgene);Acc:373928]","","Chicken","AvianImmunome"
"ENSGALP00010041415","ENSGALG00010027917","PPARG","peroxisome proliferator-activated receptor gamma [Source:NCBI gene (formerly Entrezgene);Acc:373928]","","Chicken","AvianImmunome"
"ENSGALP00010041443","ENSGALG00010027930","RAF1","Raf-1 proto-onco, serine/threonine kinase [Source:NCBI gene (formerly Entrezgene);Acc:396245]","","Chicken","AvianImmunome"
"ENSGALP00010041444","ENSGALG00010027930","RAF1","Raf-1 proto-onco, serine/threonine kinase [Source:NCBI gene (formerly Entrezgene);Acc:396245]","","Chicken","AvianImmunome"
"ENSGALP00010041446","ENSGALG00010027930","RAF1","Raf-1 proto-onco, serine/threonine kinase [Source:NCBI gene (formerly Entrezgene);Acc:396245]","","Chicken","AvianImmunome"
"ENSGALP00010041465","ENSGALG00010027939","BSPRY","B-box and SPRY domain containing [Source:UniProtKB Gene Name;Acc:A0A8V1ADZ9]","innate immune response","Chicken","biomartGO"
"ENSGALP00010041466","ENSGALG00010027940","ZBTB7B","zinc finger and BTB domain containing 7B [Source:UniProtKB Gene Name;Acc:A0A8V1AGJ1]","NK T cell differentiation","Chicken","biomartGO"
"ENSGALP00010041473","ENSGALG00010027943","RAB43","RAB43, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:415970]","","Chicken","AvianImmunome"
"ENSGALP00010041475","ENSGALG00010027943","RAB43","RAB43, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:415970]","","Chicken","AvianImmunome"
"ENSGALP00010041514","ENSGALG00010027960","PPP6C","protein phosphatase 6 catalytic subunit [Source:NCBI gene (formerly Entrezgene);Acc:772354]","cGAS/STING signaling pathway","Chicken","biomartGO"
"ENSGALP00010041573","ENSGALG00010027981","CNN2","calponin 2 [Source:NCBI gene (formerly Entrezgene);Acc:100216000]","","Chicken","AvianImmunome"
"ENSGALP00010041574","ENSGALG00010027981","CNN2","calponin 2 [Source:NCBI gene (formerly Entrezgene);Acc:100216000]","","Chicken","AvianImmunome"
