"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000030264","ENSTGUG00000006831","CLDN18","claudin 18 [Source:UniProtKB Gene Name;Acc:H0Z8X9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030281","ENSTGUG00000006485","TBK1","TANK binding kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674GA59]","activation of innate immune response; immune system process; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030304","ENSTGUG00000001770","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:UniProtKB Gene Name;Acc:A0A674H347]","B cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000030305","ENSTGUG00000025275","CCL19","C-C motif chemokine ligand 19 [Source:UniProtKB Gene Name;Acc:A0A674H737]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000030328","ENSTGUG00000020969","NKX2-5","NK2 homeobox 5 [Source:NCBI gene (formerly Entrezgene);Acc:100225228]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030370","ENSTGUG00000003117","STXBP1","syntaxin binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GQL2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030386","ENSTGUG00000024623","STARD7","StAR related lipid transfer domain containing 7 [Source:UniProtKB Gene Name;Acc:A0A674H723]","myeloid dendritic cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000030391","ENSTGUG00000020501","","","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000030393","ENSTGUG00000026325","CASP8","caspase 8 [Source:UniProtKB Gene Name;Acc:A0A674H4G9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030397","ENSTGUG00000008703","NUP85","nucleoporin 85 [Source:UniProtKB Gene Name;Acc:A0A674H6C1]","macrophage chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030403","ENSTGUG00000007131","ZBTB46","zinc finger and BTB domain containing 46 [Source:UniProtKB Gene Name;Acc:A0A674GJK4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030422","ENSTGUG00000003652","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:UniProtKB Gene Name;Acc:A0A674GPG1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030444","ENSTGUG00000003896","DNAJA3","DnaJ heat shock protein family (Hsp40) member A3 [Source:UniProtKB Gene Name;Acc:A0A674G924]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030450","ENSTGUG00000001899","PDE5A","phosphodiesterase 5A [Source:UniProtKB Gene Name;Acc:A0A674GWQ0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030462","ENSTGUG00000010650","RAC2","Rac family small GTPase 2 [Source:UniProtKB Gene Name;Acc:A0A674HBK0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030481","ENSTGUG00000001140","APBB1IP","amyloid beta protein binding family B member 1 interacting protein [Source:UniProtKB Gene Name;Acc:A0A674H6F8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030495","ENSTGUG00000004937","SRC","SRC proto-onco, non-receptor tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674GRY1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030505","ENSTGUG00000000128","CADM1","cell adhesion molecule 1 [Source:UniProtKB Gene Name;Acc:A0A674GJ43]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030510","ENSTGUG00000004145","ATG7","autophagy related 7 [Source:UniProtKB Gene Name;Acc:A0A674GKL2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030511","ENSTGUG00000004127","IRF8","interferon regulatory factor 8 [Source:UniProtKB Gene Name;Acc:H0Z126]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030541","ENSTGUG00000012615","WNK1","WNK lysine deficient protein kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674GZP5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030547","ENSTGUG00000025833","FOXJ1","forkhead box J1 [Source:UniProtKB Gene Name;Acc:A0A674H6P9]","humoral immune response; leukocyte migration","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030574","ENSTGUG00000011899","CD9","CD9 molecule [Source:NCBI gene (formerly Entrezgene);Acc:100189994]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030581","ENSTGUG00000002037","PRKCQ","protein kinase C theta [Source:UniProtKB Gene Name;Acc:A0A674H7K0]","CD4-positive, alpha-beta T cell proliferation; T cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000030608","ENSTGUG00000006134","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:UniProtKB Gene Name;Acc:A0A674GXH6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030625","ENSTGUG00000018962","ORAI1","ORAI calcium release-activated calcium modulator 1 [Source:UniProtKB Gene Name;Acc:A0A674H813]","adaptive immune response; immune system process","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030630","ENSTGUG00000024234","ZFP36L1","ZFP36 ring finger protein like 1 [Source:UniProtKB Gene Name;Acc:A0A674H818]","T cell differentiation in thymus","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030642","ENSTGUG00000005297","SLC11A1","solute carrier family 11 member 1 [Source:UniProtKB Gene Name;Acc:A0A674GKG5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030660","ENSTGUG00000006423","POLR3A","RNA polymerase III subunit A [Source:UniProtKB Gene Name;Acc:A0A674HBK6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030685","ENSTGUG00000024593","NR1D1","nuclear receptor subfamily 1 group D member 1 [Source:UniProtKB Gene Name;Acc:A0A674H876]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030691","ENSTGUG00000000963","FER","FER tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674HU56]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030701","ENSTGUG00000012738","EML1","EMAP like 1 [Source:UniProtKB Gene Name;Acc:H0ZR76]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030702","ENSTGUG00000000417","NFIL3","nuclear factor, interleukin 3 regulated [Source:UniProtKB Gene Name;Acc:H0YQ71]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030707","ENSTGUG00000025571","","","antigen processing and presentation; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000030715","ENSTGUG00000003252","","","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000030717","ENSTGUG00000028514","MARCHF1","membrane associated ring-CH-type finger 1 [Source:UniProtKB Gene Name;Acc:A0A674H776]","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000030731","ENSTGUG00000013374","RABL3","RAB, member of RAS onco family like 3 [Source:UniProtKB Gene Name;Acc:A0A674H810]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030746","ENSTGUG00000006626","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A674HN06]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030752","ENSTGUG00000012284","LCP1","lymphocyte cytosolic protein 1 [Source:UniProtKB Gene Name;Acc:A0A674H7D8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030754","ENSTGUG00000027226","KCNJ8","potassium inwardly rectifying channel subfamily J member 8 [Source:UniProtKB Gene Name;Acc:A0A674H7X4]","adaptive immune response; microglial cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000030773","ENSTGUG00000000764","ZMYND11","zinc finger MYND-type containing 11 [Source:UniProtKB Gene Name;Acc:A0A674GPY7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030788","ENSTGUG00000028371","","","T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000030792","ENSTGUG00000004543","PTPRZ1","protein tyrosine phosphatase receptor type Z1 [Source:UniProtKB Gene Name;Acc:H0Z2E7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030806","ENSTGUG00000012774","GFUS","GDP-L-fucose synthase [Source:UniProtKB Gene Name;Acc:A0A674HHD7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030809","ENSTGUG00000001539","","","complement activation, classical pathway; immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000030832","ENSTGUG00000008082","GNAS","GNAS complex locus [Source:UniProtKB Gene Name;Acc:A0A674GMQ0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030893","ENSTGUG00000029490","CBFB","core-binding factor subunit beta [Source:UniProtKB Gene Name;Acc:A0A674GSV7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030908","ENSTGUG00000020006","PAWR","pro-apoptotic WT1 regulator [Source:UniProtKB Gene Name;Acc:A0A674H5X3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030913","ENSTGUG00000000963","FER","FER tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674HU56]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030915","ENSTGUG00000011709","L3MBTL3","L3MBTL histone methyl-lysine binding protein 3 [Source:UniProtKB Gene Name;Acc:A0A674GCY0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030922","ENSTGUG00000007491","NFKB2","nuclear factor kappa B subunit 2 [Source:UniProtKB Gene Name;Acc:H0ZB25]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030923","ENSTGUG00000007414","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:UniProtKB Gene Name;Acc:A0A674H083]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030933","ENSTGUG00000023536","MIF","macrophage migration inhibitory factor [Source:UniProtKB Gene Name;Acc:A0A674H5Y9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030941","ENSTGUG00000007550","SH3KBP1","SH3 domain containing kinase binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GWS2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000030942","ENSTGUG00000014568","MATR3","matrin 3 [Source:NCBI gene (formerly Entrezgene);Acc:100232255]","activation of innate immune response; immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000030995","ENSTGUG00000006263","USP15","ubiquitin specific peptidase 15 [Source:UniProtKB Gene Name;Acc:A0A674GN71]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031062","ENSTGUG00000019943","TESC","tescalcin [Source:UniProtKB Gene Name;Acc:A0A674H883]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031073","ENSTGUG00000012746","EVL","Enah/Vasp-like [Source:UniProtKB Gene Name;Acc:A0A674H318]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031080","ENSTGUG00000008793","UBE2K","ubiquitin conjugating enzyme E2 K [Source:UniProtKB Gene Name;Acc:A0A674HMY7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031085","ENSTGUG00000021288","KMT5C","lysine methyltransferase 5C [Source:UniProtKB Gene Name;Acc:A0A674H9F4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031097","ENSTGUG00000003933","EPAS1","endothelial PAS domain protein 1 [Source:UniProtKB Gene Name;Acc:A0A674H561]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031108","ENSTGUG00000001140","APBB1IP","amyloid beta protein binding family B member 1 interacting protein [Source:UniProtKB Gene Name;Acc:A0A674H6F8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031112","ENSTGUG00000028237","STX8","syntaxin 8 [Source:UniProtKB Gene Name;Acc:A0A674H8D4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031122","ENSTGUG00000008039","KITLG","KIT ligand [Source:UniProtKB Gene Name;Acc:A0A674H8E4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031140","ENSTGUG00000020323","SOCS6","suppressor of cytokine signaling 6 [Source:UniProtKB Gene Name;Acc:A0A674HJT7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031157","ENSTGUG00000002600","STAT3","signal transducer and activator of transcription 3 [Source:UniProtKB Gene Name;Acc:H0YWJ7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031170","ENSTGUG00000026657","RUNX1","RUNX family transcription factor 1 [Source:UniProtKB Gene Name;Acc:A0A674GBC2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031230","ENSTGUG00000012399","EPS8","EGFR pathway substrate 8, signaling adaptor [Source:UniProtKB Gene Name;Acc:A0A674H2K6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031244","ENSTGUG00000020843","HEXIM1","HEXIM P-TEFb complex subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:100190049]","activation of innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000031249","ENSTGUG00000006423","POLR3A","RNA polymerase III subunit A [Source:UniProtKB Gene Name;Acc:A0A674HBK6]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031265","ENSTGUG00000020240","CAMK1D","calcium/calmodulin dependent protein kinase ID [Source:UniProtKB Gene Name;Acc:A0A674HA08]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031273","ENSTGUG00000012380","BACH2","BTB domain and CNC homolog 2 [Source:UniProtKB Gene Name;Acc:A0A674G808]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031311","ENSTGUG00000003926","NOD1","nucleotide binding oligomerization domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A674HQ34]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031325","ENSTGUG00000014568","MATR3","matrin 3 [Source:NCBI gene (formerly Entrezgene);Acc:100232255]","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000031330","ENSTGUG00000013149","PUM2","pumilio RNA binding family member 2 [Source:UniProtKB Gene Name;Acc:A0A674GR00]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031331","ENSTGUG00000012808","HSP90AA1","heat shock protein 90 alpha family class A member 1 [Source:UniProtKB Gene Name;Acc:A0A674HHW7]","activation of innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000031333","ENSTGUG00000017231","NOTCH2","notch receptor 2 [Source:UniProtKB Gene Name;Acc:H1A3Q6]","humoral immune response; inflammatory response to antigenic stimulus; myeloid dendritic cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031335","ENSTGUG00000003595","NFKB1","nuclear factor kappa B subunit 1 [Source:UniProtKB Gene Name;Acc:A0A674GTF9]","B cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000031342","ENSTGUG00000005370","ANXA2","annexin A2 [Source:UniProtKB Gene Name;Acc:H0Z4R0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031343","ENSTGUG00000003308","SKIC8","SKI8 subunit of superkiller complex [Source:NCBI gene (formerly Entrezgene);Acc:100189997]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031352","ENSTGUG00000001514","CALCR","calcitonin receptor [Source:UniProtKB Gene Name;Acc:A0A674GCQ8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031391","ENSTGUG00000008924","HHEX","hematopoietically expressed homeobox [Source:UniProtKB Gene Name;Acc:A0A674H9W6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031403","ENSTGUG00000008991","APOD","apolipoprotein D [Source:UniProtKB Gene Name;Acc:H0ZFA1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031436","ENSTGUG00000008602","MAPK1","mitogen-activated protein kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674HA04]","B cell receptor signaling pathway; T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000031447","ENSTGUG00000013187","EPHB6","EPH receptor B6 [Source:UniProtKB Gene Name;Acc:H0ZSI9]","T cell mediated immunity; activated T cell proliferation; type IV hypersensitivity","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031467","ENSTGUG00000000882","CD74","CD74 molecule [Source:NCBI gene (formerly Entrezgene);Acc:100229033]","antigen processing and presentation","ZebraFinch","biomartGO"
"ENSTGUP00000031473","ENSTGUG00000021241","NTRK1","neurotrophic receptor tyrosine kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674H7D4]","B cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031532","ENSTGUG00000013470","RAB6A","RAB6A, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:100190586]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031559","ENSTGUG00000002205","MED1","mediator complex subunit 1 [Source:UniProtKB Gene Name;Acc:A0A674GY59]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031570","ENSTGUG00000012904","AKT1","AKT serine/threonine kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674GAM7]","cGAS/STING signaling pathway; complement receptor mediated signaling pathway; toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031601","ENSTGUG00000013276","PTPN6","protein tyrosine phosphatase non-receptor type 6 [Source:UniProtKB Gene Name;Acc:A0A674HAG0]","B cell receptor signaling pathway; T cell activation; T cell proliferation; T cell receptor signaling pathway; cytoplasmic pattern recognition receptor signaling pathway; pattern recognition receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031620","ENSTGUG00000019687","C1QC","complement C1q C chain [Source:UniProtKB Gene Name;Acc:A0A674GDI1]","complement activation, classical pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031646","ENSTGUG00000020581","","C-C chemokine receptor type 1-like [Source:NCBI gene;Acc:100218724]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000031674","ENSTGUG00000020038","BNIP3L","BCL2 interacting protein 3 like [Source:UniProtKB Gene Name;Acc:H0Z1B1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031676","ENSTGUG00000012969","PICALM","phosphatidylinositol binding clathrin assembly protein [Source:UniProtKB Gene Name;Acc:H0ZRX2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031692","ENSTGUG00000022016","EDN2","endothelin 2 [Source:UniProtKB Gene Name;Acc:A0A674H9X2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031748","ENSTGUG00000004786","CTNNB1","catenin beta 1 [Source:UniProtKB Gene Name;Acc:A0A674H859]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031765","ENSTGUG00000010650","RAC2","Rac family small GTPase 2 [Source:UniProtKB Gene Name;Acc:A0A674HBK0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031771","ENSTGUG00000026091","LY86","lymphocyte antigen 86 [Source:UniProtKB Gene Name;Acc:A0A674HBK5]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000031809","ENSTGUG00000028371","","","T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000031825","ENSTGUG00000019967","FBN1","fibrillin 1 [Source:UniProtKB Gene Name;Acc:A0A674HC31]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031837","ENSTGUG00000007134","FGL1","fibrinogen like 1 [Source:UniProtKB Gene Name;Acc:A0A674GJI6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031839","ENSTGUG00000009575","SLIT2","slit guidance ligand 2 [Source:UniProtKB Gene Name;Acc:H0ZH52]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031845","ENSTGUG00000008092","TEC","tec protein tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674HB39]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031871","ENSTGUG00000027340","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:UniProtKB Gene Name;Acc:A0A674HBV6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031897","ENSTGUG00000010699","SLC39A10","solute carrier family 39 member 10 [Source:UniProtKB Gene Name;Acc:A0A674HBE8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031931","ENSTGUG00000020469","","Fc receptor-like protein 4 [Source:NCBI gene;Acc:115498405]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000031932","ENSTGUG00000002420","C8G","complement C8 gamma chain [Source:UniProtKB Gene Name;Acc:A0A674H4W7]","complement activation","ZebraFinch","biomartGO"
"ENSTGUP00000031947","ENSTGUG00000003590","TGFBR2","transforming growth factor beta receptor 2 [Source:UniProtKB Gene Name;Acc:H0YZF5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031952","ENSTGUG00000027039","","","T cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000031964","ENSTGUG00000022035","SLC26A6","solute carrier family 26 member 6 [Source:UniProtKB Gene Name;Acc:A0A674GPB6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000031976","ENSTGUG00000012921","JAG2","jagged canonical Notch ligand 2 [Source:UniProtKB Gene Name;Acc:A0A674HC58]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032015","ENSTGUG00000012200","ATG5","autophagy related 5 [Source:UniProtKB Gene Name;Acc:H0ZPN3]","antigen processing and presentation of endogenous antigen; immune system process; innate immune response; negative thymic T cell selection","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000032061","ENSTGUG00000001191","PIP4K2A","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:UniProtKB Gene Name;Acc:A0A674HCI1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032074","ENSTGUG00000007550","SH3KBP1","SH3 domain containing kinase binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GWS2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032099","ENSTGUG00000009259","CD81","CD81 molecule [Source:UniProtKB Gene Name;Acc:A0A674GYL1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032130","ENSTGUG00000006078","IL34","interleukin 34 [Source:NCBI gene (formerly Entrezgene);Acc:100499188]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032153","ENSTGUG00000004013","LEF1","lymphoid enhancer binding factor 1 [Source:UniProtKB Gene Name;Acc:A0A674GTJ2]","T cell receptor V(D)J recombination; T-helper 1 cell differentiation; alpha-beta T cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000032154","ENSTGUG00000008250","TLR7","toll like receptor 7 [Source:UniProtKB Gene Name;Acc:A0A674HHC6]","innate immune response; toll-like receptor 7 signaling pathway; toll-like receptor 8 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000032166","ENSTGUG00000012615","WNK1","WNK lysine deficient protein kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674GZP5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032191","ENSTGUG00000029490","CBFB","core-binding factor subunit beta [Source:UniProtKB Gene Name;Acc:A0A674GSV7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032211","ENSTGUG00000008859","ARHGEF7","Rho guanine nucleotide exchange factor 7 [Source:UniProtKB Gene Name;Acc:A0A674G9N6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032224","ENSTGUG00000019166","","","adaptive immune response; antigen processing and presentation; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000032236","ENSTGUG00000004083","LBR","lamin B receptor [Source:UniProtKB Gene Name;Acc:A0A674H017]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032240","ENSTGUG00000012267","LRCH1","leucine rich repeats and calponin homology domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A674H9G5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032241","ENSTGUG00000007550","SH3KBP1","SH3 domain containing kinase binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GWS2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032248","ENSTGUG00000013613","ALCAM","activated leukocyte cell adhesion molecule [Source:UniProtKB Gene Name;Acc:A0A674G8U0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032249","ENSTGUG00000008137","VEGFA","vascular endothelial growth factor A [Source:UniProtKB Gene Name;Acc:A0A674HBF7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032264","ENSTGUG00000009245","RBPJ","recombination signal binding protein for immunoglobulin kappa J region [Source:UniProtKB Gene Name;Acc:H0ZG30]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032267","ENSTGUG00000012511","PIBF1","progesterone immunomodulatory binding factor 1 [Source:UniProtKB Gene Name;Acc:A0A674GYD5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032270","ENSTGUG00000021999","CEBPB","","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032299","ENSTGUG00000006423","POLR3A","RNA polymerase III subunit A [Source:UniProtKB Gene Name;Acc:A0A674HBK6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032302","ENSTGUG00000005396","NCBP3","nuclear cap binding subunit 3 [Source:UniProtKB Gene Name;Acc:H0Z4S5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032311","ENSTGUG00000009161","CNOT4","CCR4-NOT transcription complex subunit 4 [Source:UniProtKB Gene Name;Acc:H0ZFT3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032333","ENSTGUG00000002382","ITGA1","integrin subunit alpha 1 [Source:UniProtKB Gene Name;Acc:A0A674HCR0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032344","ENSTGUG00000000422","SYK","spleen associated tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674HBP8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032371","ENSTGUG00000021048","","","leukocyte migration","ZebraFinch","biomartGO"
"ENSTGUP00000032402","ENSTGUG00000022035","SLC26A6","solute carrier family 26 member 6 [Source:UniProtKB Gene Name;Acc:A0A674GPB6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032409","ENSTGUG00000006815","LEO1","LEO1 homolog, Paf1/RNA polymerase II complex component [Source:UniProtKB Gene Name;Acc:H0Z8Y0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032427","ENSTGUG00000007910","IKZF1","IKAROS family zinc finger 1 [Source:UniProtKB Gene Name;Acc:A0A674HKD1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032439","ENSTGUG00000005550","DOCK8","dedicator of cytokinesis 8 [Source:UniProtKB Gene Name;Acc:A0A674HBY3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032440","ENSTGUG00000010030","LEPR","leptin receptor [Source:NCBI gene (formerly Entrezgene);Acc:100229897]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032443","ENSTGUG00000022516","MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:UniProtKB Gene Name;Acc:A0A674HD11]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032513","ENSTGUG00000005824","CD40","CD40 molecule [Source:UniProtKB Gene Name;Acc:H0Z5Z9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032531","ENSTGUG00000003503","GCNT1","glucosaminyl (N-acetyl) transferase 1 [Source:UniProtKB Gene Name;Acc:H0YZ68]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032535","ENSTGUG00000004635","VAV3","vav guanine nucleotide exchange factor 3 [Source:UniProtKB Gene Name;Acc:H0Z2W1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000032552","ENSTGUG00000013149","PUM2","pumilio RNA binding family member 2 [Source:UniProtKB Gene Name;Acc:A0A674GR00]","","ZebraFinch","AvianImmunome"
