"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000001721","ENSTGUG00000001667","AQP3","aquaporin 3 (Gill blood group) [Source:UniProtKB Gene Name;Acc:H0YTV5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001757","ENSTGUG00000001704","DCAF12","DDB1 and CUL4 associated factor 12 [Source:UniProtKB Gene Name;Acc:H0YTZ0]","T cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000001780","ENSTGUG00000015689","","C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000001786","ENSTGUG00000001722","SFPQ","splicing factor proline and glutamine rich [Source:UniProtKB Gene Name;Acc:H0YU18]","activation of innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001831","ENSTGUG00000001775","STOML2","stomatin like 2 [Source:UniProtKB Gene Name;Acc:H0YU63]","CD4-positive, alpha-beta T cell activation; T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000001833","ENSTGUG00000001777","ILRUN","inflammation and lipid regulator with UBA-like and NBR1-like domains [Source:UniProtKB Gene Name;Acc:H0YU65]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001852","ENSTGUG00000001799","TIFA","TRAF interacting protein with forkhead associated domain [Source:UniProtKB Gene Name;Acc:H0YU84]","cytoplasmic pattern recognition receptor signaling pathway; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001853","ENSTGUG00000001800","ALPK1","alpha kinase 1 [Source:UniProtKB Gene Name;Acc:A0A674HG11]","cytoplasmic pattern recognition receptor signaling pathway; innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001889","ENSTGUG00000001835","TREM2","triggering receptor expressed on myeloid cells 2 [Source:UniProtKB Gene Name;Acc:H0YUC1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001895","ENSTGUG00000001834","GLI3","GLI family zinc finger 3 [Source:UniProtKB Gene Name;Acc:H0YUC7]","T cell differentiation in thymus; alpha-beta T cell differentiation; negative thymic T cell selection","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001896","ENSTGUG00000001838","MSMP","microseminoprotein, prostate associated [Source:UniProtKB Gene Name;Acc:H0YUC8]","lymphocyte chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001898","ENSTGUG00000001843","INHBA","inhibin subunit beta A [Source:UniProtKB Gene Name;Acc:H0YUD0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001933","ENSTGUG00000001873","KAT7","lysine acetyltransferase 7 [Source:UniProtKB Gene Name;Acc:H0YUG5]","T cell differentiation; natural killer cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001955","ENSTGUG00000001885","SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:UniProtKB Gene Name;Acc:A0A674GI78]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001965","ENSTGUG00000001897","ITGA9","integrin subunit alpha 9 [Source:UniProtKB Gene Name;Acc:A0A674HEU5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001971","ENSTGUG00000001899","PDE5A","phosphodiesterase 5A [Source:UniProtKB Gene Name;Acc:A0A674GWQ0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002025","ENSTGUG00000001955","DROSHA","drosha ribonuclease III [Source:UniProtKB Gene Name;Acc:A0A674G9T6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002060","ENSTGUG00000001996","IL7R","interleukin 7 receptor [Source:UniProtKB Gene Name;Acc:H0YUU0]","B cell homeostasis; T cell differentiation; T cell differentiation in thymus; T cell homeostasis; T cell mediated cytotoxicity","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002062","ENSTGUG00000001994","","","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002065","ENSTGUG00000002007","IL21","interleukin 21 [Source:UniProtKB Gene Name;Acc:A0A674HH79]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002067","ENSTGUG00000002007","IL21","interleukin 21 [Source:UniProtKB Gene Name;Acc:A0A674HH79]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002069","ENSTGUG00000002009","","interleukin-2 receptor subunit alpha-like [Source:NCBI gene;Acc:100222957]","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000002086","ENSTGUG00000002027","SKP2","S-phase kinase associated protein 2 [Source:UniProtKB Gene Name;Acc:H0YUW6]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002089","ENSTGUG00000002028","PHLPP1","PH domain and leucine rich repeat protein phosphatase 1 [Source:UniProtKB Gene Name;Acc:H0YUW9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002133","ENSTGUG00000002040","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:UniProtKB Gene Name;Acc:H0YV12]","B cell homeostasis; B cell receptor signaling pathway; T cell activation; lymphocyte homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002166","ENSTGUG00000002085","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:UniProtKB Gene Name;Acc:H0YV45]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000002173","ENSTGUG00000002094","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:UniProtKB Gene Name;Acc:H0YV52]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002174","ENSTGUG00000002099","HTATSF1","HIV-1 Tat specific factor 1 [Source:UniProtKB Gene Name;Acc:H0YV53]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000002200","ENSTGUG00000002134","GATA3","GATA binding protein 3 [Source:UniProtKB Gene Name;Acc:H0YV79]","T cell differentiation; T cell differentiation in thymus; T cell receptor signaling pathway; T-helper 2 cell differentiation; humoral immune response; lymphocyte migration; thymic T cell selection","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000002201","ENSTGUG00000002126","RICTOR","RPTOR independent companion of MTOR complex 2 [Source:UniProtKB Gene Name;Acc:A0A674HER2]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
