ProteinID,GeneID,GeneSymbol,Description,GO_Terms,Species
ENSMUSP00000067111,ENSMUSG00000020717,Pecam1,platelet/endothelial cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97537],anchoring junction; blood vessel development; cell adhesion; cell migration; cell-cell junction; cytoplasm; endothelial cell development; membrane; membrane raft; plasma membrane; regulation of cell migration; signal transduction,Mouse
ENSMUSP00000067193,ENSMUSG00000053695,Defb37,defensin beta 37 [Source:MGI Symbol;Acc:MGI:2672966],CCR6 chemokine receptor binding; defense response; defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; defense response to bacterium; extracellular region; extracellular space; innate immune response in mucosa; response to bacterium,Mouse
ENSMUSP00000067434,ENSMUSG00000072115,Ang,"angiogenin, ribonuclease, RNase A family, 5 [Source:MGI Symbol;Acc:MGI:88022]",DNA binding; RNA binding; RNA nuclease activity; actin binding; actin filament polymerization; angiogenesis; antibacterial humoral response; antimicrobial humoral immune response mediated by antimicrobial peptide; basement membrane; cell differentiation; cellular response to osmotic stress; central nervous system development; copper ion binding; cytoplasm; defense response to Gram-positive bacterium; endocytic vesicle; endonuclease activity; extracellular region; extracellular space; growth cone; hematopoietic stem cell proliferation; heparin binding; hydrolase activity; innate immune response; negative regulation of apoptotic process; negative regulation of cellular senescence; negative regulation of smooth muscle cell proliferation; negative regulation of translation; negative regulation of translation in response to stress; neuronal cell body; nuclease activity; nucleic acid binding; nucleolus; nucleus; positive regulation of endothelial cell proliferation; positive regulation of protein secretion; protein homodimerization activity; rRNA transcription; response to hypoxia; signaling; signaling receptor binding; stress granule assembly; tRNA-specific ribonuclease activity,Mouse
ENSMUSP00000067541,ENSMUSG00000035031,C8a,"complement component 8, alpha polypeptide [Source:MGI Symbol;Acc:MGI:2668347]","complement activation; complement activation, alternative pathway; complement activation, classical pathway; complement binding; extracellular region; extracellular space; immune response; immune system process; innate immune response; killing of cells of another organism; membrane; membrane attack complex; metal ion binding; other organism cell membrane; plasma membrane; positive regulation of immune response; protein binding; protein-containing complex binding; transmembrane transporter complex",Mouse
ENSMUSP00000067553,ENSMUSG00000053790,Defb38,defensin beta 38 [Source:MGI Symbol;Acc:MGI:2672972],CCR6 chemokine receptor binding; defense response; defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; defense response to bacterium; extracellular region; extracellular space; innate immune response in mucosa; response to bacterium,Mouse
ENSMUSP00000067576,ENSMUSG00000052920,Prkg1,"protein kinase, cGMP-dependent, type I [Source:MGI Symbol;Acc:MGI:108174]",ATP binding; Golgi apparatus; acrosomal vesicle; cGMP binding; cGMP-dependent protein kinase activity; cGMP-mediated signaling; calcium channel regulator activity; catalytic activity; cell growth involved in cardiac muscle cell development; cerebellum development; collateral sprouting; cytoplasm; dendrite development; forebrain development; heart development; identical protein binding; kinase activity; mitogen-activated protein kinase p38 binding; negative regulation of glutamate secretion; negative regulation of inositol phosphate biosynthetic process; negative regulation of platelet aggregation; negative regulation of smooth muscle cell migration; negative regulation of smooth muscle contraction; negative regulation of vascular associated smooth muscle cell migration; negative regulation of vascular associated smooth muscle cell proliferation; neuron migration; nucleoplasm; nucleotide binding; plasma membrane; positive regulation of circadian rhythm; positive regulation of cytosolic calcium ion concentration; protein binding; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; regulation of GTPase activity; regulation of testosterone biosynthetic process; regulation of vascular permeability; relaxation of vascular associated smooth muscle; signal transduction; spermatid development; transferase activity; vasodilation,Mouse
ENSMUSP00000067744,ENSMUSG00000048766,Skint10,selection and upkeep of intraepithelial T cells 10 [Source:MGI Symbol;Acc:MGI:2685416],,Mouse
ENSMUSP00000067786,ENSMUSG00000024241,Sos1,SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:MGI Symbol;Acc:MGI:98354],B cell homeostasis; B cell receptor signaling pathway; ERBB2-ERBB3 signaling pathway; GTPase complex; MAPK cascade; Ras protein signal transduction; Schwann cell development; T cell activation; blood vessel morphogenesis; cardiac atrium morphogenesis; cytoplasm; cytosol; epidermal growth factor receptor binding; epidermal growth factor receptor signaling pathway; eyelid development in camera-type eye; fibroblast growth factor receptor signaling pathway; glutamatergic synapse; guanyl-nucleotide exchange factor activity; hair follicle development; heart morphogenesis; heart trabecula morphogenesis; insulin receptor signaling pathway; insulin-like growth factor receptor signaling pathway; lymphocyte homeostasis; midbrain morphogenesis; molecular condensate scaffold activity; multicellular organism growth; myelination; neuronal cell body; neurotrophin TRK receptor signaling pathway; pericardium morphogenesis; plasma membrane; positive regulation of Ras protein signal transduction; positive regulation of epidermal growth factor receptor signaling pathway; positive regulation of small GTPase mediated signal transduction; postsynaptic density; protein binding; protein heterodimerization activity; protein kinase binding; regulation of T cell differentiation in thymus; regulation of T cell proliferation; regulation of cell population proliferation; regulation of pro-B cell differentiation; regulation of transcription by RNA polymerase II; response to ischemia; roof of mouth development; small GTPase-mediated signal transduction; vitellogenesis,Mouse
ENSMUSP00000067837,ENSMUSG00000052922,Bpi,bactericidal permeablility increasing protein [Source:MGI Symbol;Acc:MGI:3045315],cytoplasm; defense response to Gram-negative bacterium; defense response to bacterium; extracellular region; extracellular space; immune system process; innate immune response; lipid binding; lipopolysaccharide binding; lipopolysaccharide-mediated signaling pathway; membrane; negative regulation of macrophage activation,Mouse
ENSMUSP00000067877,ENSMUSG00000052013,Btla,B and T lymphocyte associated [Source:MGI Symbol;Acc:MGI:2658978],adaptive immune response; immune response-regulating cell surface receptor signaling pathway; immune system process; membrane; negative regulation of T cell proliferation; plasma membrane; signaling receptor activity,Mouse
ENSMUSP00000068123,ENSMUSG00000053977,Cd8a,CD8 subunit alpha [Source:MGI Symbol;Acc:MGI:88346],T cell activation; T cell mediated immunity; T cell receptor signaling pathway; adaptive immune response; calcium-mediated signaling; cell surface receptor signaling pathway; cytotoxic T cell differentiation; defense response to virus; identical protein binding; immune system process; membrane; plasma membrane; positive regulation of calcium-mediated signaling; protein binding; receptor complex,Mouse
ENSMUSP00000068468,ENSMUSG00000030786,Itgam,integrin alpha M [Source:MGI Symbol;Acc:MGI:96607],cell adhesion; integrin complex; integrin-mediated signaling pathway; membrane; metal ion binding,Mouse
ENSMUSP00000068540,ENSMUSG00000054385,Ceacam2,CEA cell adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:1347246],energy homeostasis; membrane; negative regulation of cell population proliferation; negative regulation of feeding behavior; plasma membrane; protein tyrosine kinase binding; regulation of immune system process; signal transduction,Mouse
ENSMUSP00000068559,ENSMUSG00000022471,Xrcc6,X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:MGI Symbol;Acc:MGI:95606],ATP binding; DNA binding; DNA damage response; DNA helicase activity; DNA recombination; DNA repair; Ku70:Ku80 complex; catalytic activity; chromosome; cytoplasm; damaged DNA binding; double-strand break repair via nonhomologous end joining; double-stranded DNA binding; helicase activity; hydrolase activity; immune system process; innate immune response; lyase activity; nucleotide binding; nucleus; positive regulation of immune system process; response to ionizing radiation; telomere maintenance; telomeric DNA binding,Mouse
ENSMUSP00000068906,ENSMUSG00000051969,Tlr11,toll-like receptor 11 [Source:MGI Symbol;Acc:MGI:3045226],"NAD+ nucleotidase, cyclic ADP-ribose generating; immune system process; inflammatory response; innate immune response; membrane; plasma membrane; protein binding; response to bacterium; response to other organism; signal transduction; signaling receptor activity; toll-like receptor signaling pathway",Mouse
ENSMUSP00000069083,ENSMUSG00000054005,Mill1,MHC I like leukocyte 1 [Source:MGI Symbol;Acc:MGI:2179988],extracellular space; immune response; membrane; plasma membrane; protein binding; side of membrane,Mouse
ENSMUSP00000069114,ENSMUSG00000044337,Ackr3,atypical chemokine receptor 3 [Source:MGI Symbol;Acc:MGI:109562],C-C chemokine binding; C-C chemokine receptor activity; C-X-C chemokine binding; C-X-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; angiogenesis; calcium-mediated signaling; cell adhesion; cell chemotaxis; chemokine binding; chemokine-mediated signaling pathway; chemotaxis; clathrin-coated pit; coreceptor activity; early endosome; endosome; immune response; membrane; negative regulation of cell population proliferation; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage; oculomotor nerve development; plasma membrane; positive regulation of cytosolic calcium ion concentration; positive regulation of mesenchymal stem cell migration; receptor internalization; recycling endosome; scavenger receptor activity; signal transduction; vasculogenesis,Mouse
ENSMUSP00000069418,ENSMUSG00000073418,C4b,complement C4B (Chido blood group) [Source:MGI Symbol;Acc:MGI:88228],"antigen binding; complement activation; complement activation, classical pathway; complement activation, lectin pathway; endopeptidase inhibitor activity; extracellular region; extracellular space; immune system process; immunoglobulin mediated immune response; inflammatory response; innate immune response; protein binding",Mouse
ENSMUSP00000069549,ENSMUSG00000024290,Rock1,Rho-associated coiled-coil containing protein kinase 1 [Source:MGI Symbol;Acc:MGI:107927],ATP binding; Golgi apparatus; Rho protein signal transduction; Rho-dependent protein serine/threonine kinase activity; actin cytoskeleton organization; actomyosin structure organization; apical constriction; apoptotic process; blood vessel diameter maintenance; cell projection; centriole; cortical actin cytoskeleton organization; cytoplasm; cytoskeleton; cytoskeleton organization; embryonic morphogenesis; epithelial to mesenchymal transition; intracellular signal transduction; kinase activity; lamellipodium; leukocyte cell-cell adhesion; leukocyte migration; leukocyte tethering or rolling; mRNA destabilization; membrane; membrane to membrane docking; metal ion binding; mitotic cytokinesis; motor neuron apoptotic process; myoblast migration; negative regulation of amyloid precursor protein catabolic process; negative regulation of amyloid-beta formation; negative regulation of angiogenesis; negative regulation of bicellular tight junction assembly; negative regulation of motor neuron apoptotic process; neuron projection arborization; neuron projection development; nucleotide binding; plasma membrane; podocyte cell migration; positive regulation of MAPK cascade; positive regulation of amyloid-beta clearance; positive regulation of autophagy; positive regulation of cardiac muscle hypertrophy; positive regulation of connective tissue replacement; positive regulation of focal adhesion assembly; positive regulation of gene expression; positive regulation of macromolecule metabolic process; protein binding; protein kinase activity; protein localization to plasma membrane; protein phosphorylation; protein serine/threonine kinase activity; regulation of actin cytoskeleton organization; regulation of actin filament-based process; regulation of angiotensin-activated signaling pathway; regulation of cell junction assembly; regulation of cell migration; regulation of establishment of endothelial barrier; regulation of gene expression; regulation of microtubule cytoskeleton organization; regulation of neuron differentiation; regulation of synapse maturation; regulation of synaptic vesicle endocytosis; response to angiotensin; ruffle; signal transduction; small GTPase binding; transferase activity; zinc ion binding,Mouse
ENSMUSP00000069745,ENSMUSG00000053338,Tarm1,"T cell-interacting, activating receptor on myeloid cells 1 [Source:MGI Symbol;Acc:MGI:2442280]",membrane,Mouse
ENSMUSP00000069850,ENSMUSG00000056501,Cebpb,CCAAT/enhancer binding protein beta [Source:MGI Symbol;Acc:MGI:88373],"C/EBP complex; DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor binding; DNA-binding transcription repressor activity, RNA polymerase II-specific; DNA-templated transcription; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II core promoter sequence-specific DNA binding; RNA polymerase II transcription regulator complex; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II-specific DNA-binding transcription factor binding; brown fat cell differentiation; cell differentiation; cellular response to amino acid stimulus; cellular response to interleukin-1; cellular response to lipopolysaccharide; chromatin; chromatin DNA binding; chromatin binding; condensed chromosome, centromeric region; cytoplasm; defense response to bacterium; embryonic placenta development; fat cell differentiation; hepatocyte proliferation; histone acetyltransferase binding; histone deacetylase binding; identical protein binding; kinase binding; liver development; liver regeneration; mammary gland epithelial cell differentiation; mammary gland epithelial cell proliferation; memory; myeloid cell development; negative regulation of DNA-templated transcription; negative regulation of T cell proliferation; negative regulation of neuron apoptotic process; negative regulation of transcription by RNA polymerase II; neuron differentiation; nuclear glucocorticoid receptor binding; nucleoplasm; nucleus; ovarian follicle development; positive regulation of DNA-templated transcription; positive regulation of biomineral tissue development; positive regulation of fat cell differentiation; positive regulation of gene expression; positive regulation of inflammatory response; positive regulation of sodium-dependent phosphate transport; positive regulation of transcription by RNA polymerase II; protein binding; protein heterodimerization activity; protein homodimerization activity; regulation of DNA-templated transcription; regulation of cell differentiation; regulation of dendritic cell differentiation; regulation of odontoblast differentiation; regulation of osteoclast differentiation; regulation of transcription by RNA polymerase II; response to endoplasmic reticulum stress; response to lipopolysaccharide; sequence-specific DNA binding; sequence-specific double-stranded DNA binding; transcription by RNA polymerase II; transcription cis-regulatory region binding; ubiquitin-like protein ligase binding",Mouse
ENSMUSP00000069922,ENSMUSG00000027993,Trim2,tripartite motif-containing 2 [Source:MGI Symbol;Acc:MGI:1933163],cellular response to leukemia inhibitory factor; cytoplasm; metal ion binding; myosin binding; proteasome-mediated ubiquitin-dependent protein catabolic process; protein binding; protein polyubiquitination; protein ubiquitination; regulation of neuron apoptotic process; transferase activity; ubiquitin protein ligase activity; ubiquitin-protein transferase activity; zinc ion binding,Mouse
ENSMUSP00000070019,ENSMUSG00000052889,Prkcb,"protein kinase C, beta [Source:MGI Symbol;Acc:MGI:97596]","ATP binding; B cell activation; B cell receptor signaling pathway; adaptive immune response; apoptotic process; calcium channel regulator activity; calcium ion transport; calcium,diacylglycerol-dependent serine/threonine kinase activity; calyx of Held; cellular response to carbohydrate stimulus; chromatin binding; chromatin organization; chromatin remodeling; cytoplasm; cytosol; diacylglycerol-dependent serine/threonine kinase activity; histone H3T6 kinase activity; histone binding; immune system process; intracellular calcium ion homeostasis; intracellular signal transduction; kinase activity; membrane; metal ion binding; negative regulation of D-glucose transmembrane transport; negative regulation of insulin receptor signaling pathway; nuclear androgen receptor binding; nucleoplasm; nucleotide binding; nucleus; phospholipase C-activating G protein-coupled acetylcholine receptor signaling pathway; plasma membrane; positive regulation of DNA-templated transcription; positive regulation of angiogenesis; positive regulation of canonical NF-kappaB signal transduction; positive regulation of developmental process; positive regulation of insulin secretion; positive regulation of multicellular organismal process; positive regulation of vascular endothelial growth factor receptor signaling pathway; protein binding; protein kinase C binding; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; regulation of D-glucose transmembrane transport; regulation of signal transduction; regulation of synaptic vesicle exocytosis; regulation of transcription by RNA polymerase II; spectrin; transcription coactivator activity; transferase activity; zinc ion binding",Mouse
ENSMUSP00000070073,ENSMUSG00000074417,Pira12,paired-Ig-like receptor A12 [Source:MGI Symbol;Acc:MGI:3709645],cell surface receptor signaling pathway; cytokine-mediated signaling pathway; immune response-regulating signaling pathway; inhibitory MHC class I receptor activity; plasma membrane,Mouse
ENSMUSP00000070131,ENSMUSG00000053044,Cd8b1,CD8 subunit beta 1 [Source:MGI Symbol;Acc:MGI:88347],MHC class I protein binding; T cell activation; T cell receptor signaling pathway; adaptive immune response; coreceptor activity; immune system process; membrane; plasma membrane; protein binding; receptor complex; regulation of immune response,Mouse
ENSMUSP00000070388,ENSMUSG00000017774,Myo1c,myosin IC [Source:MGI Symbol;Acc:MGI:106612],ATP binding; actin binding; actin cytoskeleton; actin filament binding; actin filament organization; actin filament-based movement; brush border; calmodulin binding; cell cortex; cell projection; cellular response to type II interferon; cytoplasm; cytoplasmic vesicle; cytoplasmic vesicle membrane; cytoskeletal motor activity; cytosol; endocytosis; membrane; microfilament motor activity; microvillus; myosin complex; nucleolus; nucleoplasm; nucleotide binding; nucleus; phagocytic vesicle; phospholipid binding; plasma membrane; plasma membrane bounded cell projection; positive regulation of cellular response to insulin stimulus; positive regulation of protein targeting to membrane; protein binding; stereocilium membrane; vesicle transport along actin filament,Mouse
ENSMUSP00000070616,ENSMUSG00000028076,Cd1d1,CD1d1 antigen [Source:MGI Symbol;Acc:MGI:107674],endomembrane system; endosome; endosome membrane; immune system process; innate immune response; lysosomal membrane; lysosome; membrane,Mouse
ENSMUSP00000070629,ENSMUSG00000054763,Defb42,defensin beta 42 [Source:MGI Symbol;Acc:MGI:3033850],antifungal innate immune response; biological_process; cellular_component; defense response; defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; defense response to bacterium; extracellular region; lipopolysaccharide binding; molecular_function,Mouse
ENSMUSP00000070676,ENSMUSG00000055960,Skint4,selection and upkeep of intraepithelial T cells 4 [Source:MGI Symbol;Acc:MGI:2444425],T cell receptor signaling pathway; membrane; regulation of cytokine production; signaling receptor binding,Mouse
ENSMUSP00000070718,ENSMUSG00000051769,Wfdc15a,WAP four-disulfide core domain 15A [Source:MGI Symbol;Acc:MGI:1915471],antibacterial humoral response; defense response to bacterium; extracellular region; extracellular space; innate immune response; peptidase inhibitor activity; serine-type endopeptidase inhibitor activity,Mouse
ENSMUSP00000070827,ENSMUSG00000078945,Naip2,"NLR family, apoptosis inhibitory protein 2 [Source:MGI Symbol;Acc:MGI:1298226]",ATP binding; IPAF inflammasome complex; apoptotic process; cellular response to estrogen stimulus; cysteine-type endopeptidase inhibitor activity involved in apoptotic process; defense response to bacterium; immune system process; inflammatory response; innate immune response; metal ion binding; negative regulation of apoptotic process; nucleotide binding; protein binding; pyroptotic inflammatory response,Mouse
ENSMUSP00000070842,ENSMUSG00000056071,S100a9,S100 calcium binding protein A9 (calgranulin B) [Source:MGI Symbol;Acc:MGI:1338947],S100A9 complex; actin cytoskeleton organization; antimicrobial humoral immune response mediated by antimicrobial peptide; antioxidant activity; apoptotic process; astrocyte development; autocrine signaling; autophagy; calcium ion binding; calcium-dependent protein binding; calprotectin complex; cellular oxidant detoxification; chemotaxis; cornified envelope; cytoplasm; cytoskeleton; endothelial cell migration; extracellular region; immune system process; inflammatory response; innate immune response; leukocyte chemotaxis; leukocyte migration involved in inflammatory response; membrane; metal ion binding; neutrophil chemotaxis; peptide secretion; peptidyl-cysteine S-nitrosylation; plasma membrane; positive regulation of blood coagulation; positive regulation of inflammatory response; positive regulation of intrinsic apoptotic signaling pathway; positive regulation of peptide secretion; regulation of integrin biosynthetic process; regulation of respiratory burst involved in inflammatory response; regulation of toll-like receptor signaling pathway; regulation of translation,Mouse
ENSMUSP00000071040,ENSMUSG00000028161,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:107164]",G1/S transition of mitotic cell cycle; Z disc; calcineurin complex; calcineurin-NFAT signaling cascade; calcineurin-mediated signaling; calcium ion transport; calcium-dependent protein serine/threonine phosphatase activity; calcium-mediated signaling; calmodulin binding; calmodulin-dependent protein phosphatase activity; cardiac muscle hypertrophy in response to stress; cell projection; cytoplasm; cytosol; dendrite morphogenesis; dendritic spine; epidermis development; excitatory postsynaptic potential; glutamatergic synapse; hydrolase activity; keratinocyte differentiation; membrane; metal ion binding; mitochondrion; modulation of chemical synaptic transmission; multicellular organismal response to stress; negative regulation of calcium ion import across plasma membrane; negative regulation of dendrite morphogenesis; negative regulation of gene expression; negative regulation of signaling; nucleus; phosphoprotein phosphatase activity; plasma membrane; positive regulation of calcineurin-NFAT signaling cascade; positive regulation of calcium ion import across plasma membrane; positive regulation of cardiac muscle hypertrophy; positive regulation of cardiac muscle hypertrophy in response to stress; positive regulation of connective tissue replacement; positive regulation of endocytosis; positive regulation of gene expression; positive regulation of glomerulus development; positive regulation of osteoclast differentiation; positive regulation of saliva secretion; positive regulation of transcription by RNA polymerase II; protein binding; protein dephosphorylation; protein import into nucleus; protein serine/threonine phosphatase activity; protein serine/threonine phosphatase complex; regulation of cell proliferation involved in kidney morphogenesis; renal filtration; response to calcium ion; skeletal muscle fiber development; synapse; transition between fast and slow fiber,Mouse
ENSMUSP00000071147,ENSMUSG00000033027,Klrc3,"killer cell lectin-like receptor subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:1929720]",MHC class I protein complex binding; adaptive immune response; carbohydrate binding; immune response-regulating cell surface receptor signaling pathway; immune system process; innate immune response; membrane; plasma membrane; positive regulation of natural killer cell mediated cytotoxicity; receptor complex; regulation of natural killer cell mediated cytotoxicity; stimulatory C-type lectin receptor signaling pathway; transmembrane signaling receptor activity,Mouse
ENSMUSP00000071179,ENSMUSG00000060701,Fpr-rs3,"formyl peptide receptor, related sequence 3 [Source:MGI Symbol;Acc:MGI:1278318]",G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; N-formyl peptide receptor activity; chemotaxis; complement receptor activity; complement receptor mediated signaling pathway; inflammatory response; membrane; phospholipase C-activating G protein-coupled receptor signaling pathway; plasma membrane; positive regulation of cytosolic calcium ion concentration; signal transduction,Mouse
ENSMUSP00000071333,ENSMUSG00000100079,Ifnab,interferon alpha B [Source:MGI Symbol;Acc:MGI:1097683],B cell activation involved in immune response; T cell activation involved in immune response; adaptive immune response; cytokine activity; cytokine receptor binding; defense response; defense response to virus; extracellular region; extracellular space; humoral immune response; response to exogenous dsRNA; type I interferon receptor binding; type I interferon-mediated signaling pathway,Mouse
ENSMUSP00000071348,ENSMUSG00000066760,Psg16,pregnancy specific beta-1-glycoprotein 16 [Source:MGI Symbol;Acc:MGI:1347249],T cell activation; immune response; molecular_function,Mouse
ENSMUSP00000071353,ENSMUSG00000064039,Ccr1l1,C-C motif chemokine receptor 1 like 1 [Source:MGI Symbol;Acc:MGI:104617],C-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; calcium-mediated signaling; cell chemotaxis; chemokine (C-C motif) ligand 5 binding; chemokine (C-C motif) ligand 7 binding; chemokine receptor activity; chemokine-mediated signaling pathway; chemotaxis; cytoplasm; immune response; inflammatory response; membrane; plasma membrane; positive regulation of cytosolic calcium ion concentration; positive regulation of monocyte chemotaxis; signal transduction,Mouse
ENSMUSP00000071397,ENSMUSG00000059327,Eda,ectodysplasin-A [Source:MGI Symbol;Acc:MGI:1195272],cell differentiation; cell surface receptor signaling pathway; collagen trimer; cytokine activity; extracellular region; extracellular space; immune response; membrane; odontogenesis of dentin-containing tooth; plasma membrane; positive regulation of canonical NF-kappaB signal transduction; protein binding; regulation of non-canonical NF-kappaB signal transduction; tumor necrosis factor receptor binding,Mouse
ENSMUSP00000071457,ENSMUSG00000055298,Ctsj,cathepsin J [Source:MGI Symbol;Acc:MGI:1349426],cysteine-type peptidase activity; hydrolase activity; lysosome; peptidase activity; proteolysis,Mouse
ENSMUSP00000071470,ENSMUSG00000060591,Ifitm2,interferon induced transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:1933382],cellular response to interferon-beta; defense response to virus; endosome; immune system process; innate immune response; late endosome membrane; lysosomal membrane; lysosome; membrane; molecular_function; negative regulation of viral entry into host cell; negative regulation of viral genome replication; plasma membrane; protein-containing complex; response to interferon-alpha; response to interferon-beta; response to type II interferon; response to virus; type I interferon-mediated signaling pathway,Mouse
ENSMUSP00000071486,ENSMUSG00000062825,Actg1,"actin, gamma, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:87906]",ATP binding; NuA4 histone acetyltransferase complex; actin cytoskeleton; actin filament; angiogenesis; apical junction complex; apical part of cell; axon; axonogenesis; calyx of Held; cell motility; cell-cell junction; cellular response to type II interferon; costamere; cytoplasm; cytoskeleton; cytosol; dense body; filamentous actin; focal adhesion; hydrolase activity; identical protein binding; membrane; morphogenesis of a polarized epithelium; myelin sheath; myofibril; nucleotide binding; phagocytic vesicle; plasma membrane; positive regulation of cell migration; positive regulation of gene expression; positive regulation of wound healing; profilin binding; protein binding; protein kinase binding; protein localization to bicellular tight junction; regulation of focal adhesion assembly; regulation of stress fiber assembly; regulation of synaptic vesicle endocytosis; regulation of transepithelial transport; sarcomere organization; structural constituent of cytoskeleton; synapse; tight junction assembly; ubiquitin protein ligase binding,Mouse
ENSMUSP00000071575,ENSMUSG00000023951,Vegfa,vascular endothelial growth factor A [Source:MGI Symbol;Acc:MGI:103178],Golgi apparatus; angiogenesis; apoptotic process; artery morphogenesis; blood vessel development; blood vessel morphogenesis; bone trabecula formation; bone trabecula morphogenesis; camera-type eye morphogenesis; cardiac muscle cell development; cell differentiation; cell migration; cell migration involved in sprouting angiogenesis; cell population proliferation; cell-cell adhesion; cellular response to hypoxia; cellular response to vascular endothelial growth factor stimulus; chemoattractant activity; commissural neuron axon guidance; coronary vasculature morphogenesis; cytokine activity; cytoplasm; dopaminergic neuron differentiation; endoplasmic reticulum; endothelial cell chemotaxis; endothelial cell migration; endothelial cell proliferation; epithelial cell differentiation; epithelial cell maturation; epithelial cell proliferation; extracellular region; extracellular space; eye photoreceptor cell development; fibronectin binding; growth factor activity; heart morphogenesis; heparin binding; homeostasis of number of cells within a tissue; immune system process; in utero embryonic development; induction of positive chemotaxis; kidney development; lactation; lung development; lung vasculature development; lymphangiogenesis; macrophage differentiation; mammary gland alveolus development; membrane; mesoderm development; monocyte differentiation; motor neuron migration; negative regulation of apoptotic process; negative regulation of cell-cell adhesion; negative regulation of epithelial to mesenchymal transition; negative regulation of fat cell differentiation; negative regulation of gene expression; neuroblast proliferation; nucleus; ovarian follicle development; phospholipase C-activating G protein-coupled receptor signaling pathway; plasma membrane; platelet-derived growth factor receptor binding; positive chemotaxis; positive regulation of MAPK cascade; positive regulation of angiogenesis; positive regulation of axon extension involved in axon guidance; positive regulation of blood vessel endothelial cell migration; positive regulation of branching involved in ureteric bud morphogenesis; positive regulation of cell adhesion; positive regulation of cell division; positive regulation of cell migration involved in sprouting angiogenesis; positive regulation of cell population proliferation; positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway; positive regulation of endothelial cell migration; positive regulation of endothelial cell proliferation; positive regulation of epithelial cell proliferation; positive regulation of focal adhesion assembly; positive regulation of lymphangiogenesis; positive regulation of mast cell chemotaxis; positive regulation of neuroblast proliferation; positive regulation of positive chemotaxis; positive regulation of protein phosphorylation; positive regulation of protein-containing complex assembly; positive regulation of receptor internalization; positive regulation of transcription by RNA polymerase II; positive regulation of vascular permeability; post-embryonic camera-type eye development; primitive erythrocyte differentiation; protein binding; receptor ligand activity; regulation of cell shape; regulation of endothelial cell differentiation; regulation of growth; regulation of hematopoietic progenitor cell differentiation; regulation of nitric oxide mediated signal transduction; response to hypoxia; retinal ganglion cell axon guidance; secretory granule; sprouting angiogenesis; surfactant homeostasis; tube formation; vascular endothelial growth factor receptor 1 binding; vascular endothelial growth factor receptor 2 binding; vascular endothelial growth factor receptor binding; vascular endothelial growth factor receptor signaling pathway; vascular endothelial growth factor signaling pathway; vasculature development; vasodilation,Mouse
ENSMUSP00000071685,ENSMUSG00000054102,Nlrp9a,"NLR family, pyrin domain containing 9A [Source:MGI Symbol;Acc:MGI:2675292]",ATP binding; cytoplasm; immune system process; inflammatory response; innate immune response; nucleotide binding; protein binding,Mouse
ENSMUSP00000071770,ENSMUSG00000064210,Ano6,anoctamin 6 [Source:MGI Symbol;Acc:MGI:2145890],"blood coagulation; bone mineralization involved in bone maturation; calcium activated galactosylceramide scrambling; calcium activated phosphatidylcholine scrambling; calcium activated phosphatidylserine scrambling; calcium activated phospholipid scrambling; calcium ion transmembrane transport; calcium-activated cation channel activity; chloride channel activity; chloride channel complex; chloride transmembrane transport; chloride transport; establishment of localization in cell; identical protein binding; intracellularly calcium-gated chloride channel activity; lipid transport; membrane; metal ion binding; monoatomic ion channel complex; monoatomic ion transmembrane transport; monoatomic ion transport; phospholipid translocation; plasma membrane; plasma membrane phospholipid scrambling; positive regulation of apoptotic process; positive regulation of bone mineralization; positive regulation of monoatomic ion transmembrane transport; positive regulation of monocyte chemotaxis; positive regulation of phagocytosis, engulfment; positive regulation of potassium ion export across plasma membrane; protein dimerization activity; protein homodimerization activity; purinergic nucleotide receptor signaling pathway; regulation of postsynaptic membrane potential; synaptic membrane; voltage-gated monoatomic ion channel activity",Mouse
